"id","status","template_id","accession_number","attempts","created_at"
310,completed,100,"515730",2,2022-06-29 14:42:52.468 +0930
311,completed,96,"515732",2,2022-06-29 14:44:32.424 +0930
303,failed,110,"515635",8,2022-06-29 09:50:03.608 +0930
293,failed,110,"515492",8,2022-06-28 12:00:49.659 +0930
338,completed,100,"516012",5,2022-07-01 10:45:57.168 +0930
283,completed,96,"515373",2,2022-06-27 15:38:57.032 +0930
298,completed,100,"515570",4,2022-06-28 16:08:17.868 +0930
336,completed,96,"515974",3,2022-07-01 09:27:52.272 +0930
337,completed,110,"515975",3,2022-07-01 09:28:09.043 +0930
284,completed,100,"515376",3,2022-06-27 15:41:02.773 +0930
362,completed,96,"516228",3,2022-07-04 11:36:24.380 +0930
300,completed,96,"515589",3,2022-06-28 16:55:28.262 +0930
313,completed,100,"515764",2,2022-06-29 15:56:20.736 +0930
301,completed,96,"515591",3,2022-06-28 16:56:14.014 +0930
344,completed,96,"516061",2,2022-07-01 12:48:14.543 +0930
343,completed,100,"516057",3,2022-07-01 12:40:25.716 +0930
281,completed,96,"515366",4,2022-06-27 15:25:47.320 +0930
297,failed,96,"515568",8,2022-06-28 16:03:58.096 +0930
302,failed,110,"515594",8,2022-06-28 17:01:47.574 +0930
345,completed,100,"516064",2,2022-07-01 12:59:42.477 +0930
287,completed,96,"515391",3,2022-06-27 16:12:07.663 +0930
286,completed,100,"515386",3,2022-06-27 16:04:32.464 +0930
285,completed,96,"515379",4,2022-06-27 15:48:16.960 +0930
314,completed,100,"515774",2,2022-06-29 16:13:30.874 +0930
357,completed,100,"516193",3,2022-07-04 10:05:41.865 +0930
288,completed,96,"515394",5,2022-06-27 16:22:58.238 +0930
352,completed,96,"516136",3,2022-07-01 15:58:50.176 +0930
354,completed,100,"516142",2,2022-07-01 16:15:08.564 +0930
316,completed,96,"515780",2,2022-06-29 16:33:56.191 +0930
350,completed,100,"516121",2,2022-07-01 15:20:54.601 +0930
315,completed,100,"515777",4,2022-06-29 16:19:10.293 +0930
370,completed,96,"516286",4,2022-07-04 15:13:16.164 +0930
359,completed,100,"516220",2,2022-07-04 11:25:22.385 +0930
322,completed,96,"515822",3,2022-06-30 09:55:23.979 +0930
317,completed,96,"515790",2,2022-06-29 17:14:15.646 +0930
348,completed,96,"516108",4,2022-07-01 14:52:31.078 +0930
353,completed,100,"516138",3,2022-07-01 16:02:08.438 +0930
312,failed,110,"515762",8,2022-06-29 15:52:15.031 +0930
351,completed,96,"516123",4,2022-07-01 15:24:55.372 +0930
360,completed,96,"516223",4,2022-07-04 11:28:05.261 +0930
363,completed,96,"516235",4,2022-07-04 11:52:01.909 +0930
355,completed,100,"516149",2,2022-07-01 16:47:36.256 +0930
347,completed,96,"516103",5,2022-07-01 14:45:15.390 +0930
349,completed,96,"516115",5,2022-07-01 15:09:33.096 +0930
324,completed,100,"515832",3,2022-06-30 10:13:04.829 +0930
325,completed,96,"515835",3,2022-06-30 10:19:58.180 +0930
327,completed,96,"515842",3,2022-06-30 10:27:12.531 +0930
326,completed,96,"515841",3,2022-06-30 10:26:42.872 +0930
323,completed,96,"515830",4,2022-06-30 10:09:17.659 +0930
365,completed,100,"516248",3,2022-07-04 12:13:29.258 +0930
358,completed,96,"516210",4,2022-07-04 10:53:21.329 +0930
368,completed,100,"516279",2,2022-07-04 14:58:05.883 +0930
361,completed,96,"516225",4,2022-07-04 11:31:58.542 +0930
371,completed,96,"516290",2,2022-07-04 15:23:57.460 +0930
366,failed,100,"516268",8,2022-07-04 14:21:51.364 +0930
356,failed,96,"516191",8,2022-07-04 10:03:43.519 +0930
367,completed,100,"516274",4,2022-07-04 14:44:05.774 +0930
369,completed,96,"516280",4,2022-07-04 15:01:10.021 +0930
372,completed,100,"516306",2,2022-07-04 16:07:28.524 +0930
